Crop,North Coastal,Godavari,Krishna,Southern,Scarce Rainfall,High Altitude & Tribal
Rice,S,H,H,M,U,S
Maize,U,M,M,M,S,U
Groundnut,S,M,M,M,S,U
Greengram,M,H,H,M,M,U
Blackgram,M,M,M,M,S,U
Sunflower,S,M,M,H,M,U
Sesame,S,M,M,M,M,U
Watermelon,M,H,H,H,M,U
Muskmelon,M,H,H,H,H,U
Cucumber,M,H,H,H,M,S
Bitter Gourd,M,H,H,M,M,S
Ridge Gourd,M,H,H,M,M,S
Bottle Gourd,M,H,H,M,S,S
Pumpkin,M,M,M,M,S,S
Tomato,S,M,M,M,S,U
Brinjal,M,M,M,M,S,S
Okra,M,H,H,M,M,S
Chillies,S,M,M,M,S,S
Onion,S,M,M,M,S,U
Coriander,U,S,S,S,U,U
Sun Hemp,S,S,S,S,M,U
Chillies,S,M,M,M,S,S
Zinnia,M,M,M,H,M,M
Gaillardia,M,H,H,H,H,M
Portulaca,H,H,H,H,M,S
Sunflower (Ornamental),M,M,M,H,M,S
Celosia,M,M,M,H,M,M
Mint,H,H,H,H,M,M
Tulsi,M,M,M,M,S,M
,,,,,,
Amaranth,M,M,M,M,S,M
Lemongrass,M,H,H,H,M,M
Aloe Vera,H,H,H,P,H,S
Stevia,M,M,M,H,M,M
Brahmi,M,M,M,M,S,M
,,,,,,
,,,,,,
Sudan Grass / Sorghum Sudangrass,M,H,H,H,M,M
Hybrid Napier (Summer cuts),M,H,H,H,H,M
Guinea Grass (Summer cuts),M,M,M,M,M,M
Fodder Maize (Summer),M,H,H,H,M,S
Cowpea (Fodder Summer),M,M,M,M,M,S
Berseem (Last cuts),S,S,S,S,S,M
Lucerne (Summer cuts),M,M,M,M,M,H
